Country,Latitude,Longitude,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Afghanistan,33.93911,67.709953,46.51282488,48.04333496,49.61142783,51.31914071,53.16980691,55.16093247,57.22515115,59.45464163,61.7264408,64.10056744,66.52582348
Albania,41.153332,20.168331,8.614278947,8.473569464,8.377771101,8.378717701,8.509459806,8.805974919,9.284419857,9.963017976,10.82505604,11.82809714,12.91451797
Algeria,28.033886,1.659626,19.95486657,20.4293154,20.87252144,21.28039551,21.61269416,21.87307618,22.13734858,22.47152506,22.93379413,23.5629453,24.381526
Andorra,42.546245,1.601554,2.83160691,2.941386329,3.064820479,3.200425218,3.340384911,3.495399071,3.665887728,3.850386143,4.043768656,4.256321379,4.459207498
Angola,-11.202692,17.873887,50.18015462,51.87144038,53.53517513,55.56222719,57.81665256,60.54046772,63.71524587,67.31644487,71.42047275,75.86864973,80.48416281
Antigua and Barbuda,17.060816,-61.796428,5.790410797,6.005957808,6.234654505,6.493730747,6.770443491,7.079192051,7.428225981,7.823103943,8.236396536,8.678637768,9.13280581
Argentina,-38.416097,-63.616672,8.238052776,8.699038159,9.191891652,9.700523496,10.22042087,10.75480132,11.30477609,11.85737001,12.40074216,12.90835062,13.3415387
Armenia,40.069099,45.038189,10.50872351,11.03316665,11.6070266,12.22385433,12.84986202,13.51420225,14.20535435,14.93910043,15.71886462,16.53713899,17.40439676
Australia,-25.274398,133.775136,3.051816365,3.096226822,3.137775128,3.18791625,3.255395717,3.348656771,3.474454315,3.629168068,3.807234448,3.996784001,4.184943716
Austria,47.516231,14.550072,2.845195443,2.898647919,2.946415719,2.99326572,3.046625446,3.118536213,3.215870452,3.339811147,3.470602504,3.58418493,3.676060717
Azerbaijan,40.143105,47.576927,18.23757538,19.25599983,20.45378816,21.82883485,23.36176023,25.02897472,26.77096597,28.62257407,30.58161389,32.58175628,34.75778465
Bahamas,25.03428,-77.39628,10.85550979,11.14656852,11.43327976,11.73074177,11.99855861,12.25561215,12.50810116,12.77334496,13.06035206,13.34557757,13.63492628
Bahrain,25.930414,50.637772,5.901778269,6.064939751,6.215721812,6.349841318,6.475842013,6.573069427,6.681062959,6.825744049,7.023885387,7.287097339,7.620979545
Bangladesh,23.684994,90.356331,25.58966058,26.73541519,27.98896803,29.29028684,30.64713518,32.06961577,33.54466944,35.12109684,36.79163021,38.57601697,40.50617787
Barbados,13.193887,-59.543198,11.74110773,12.08193316,12.41067784,12.72941634,13.0063567,13.25481176,13.45436393,13.58757365,13.70365234,13.80916837,13.92969659
Belarus,53.709807,27.953389,2.421918468,2.565442706,2.723917078,2.883394773,3.044736478,3.215392415,3.402423233,3.619265691,3.878244665,4.190410378,4.562494984
